OBJECTID,pointid,grid_code,POINT_X,POINT_Y,POINT_Z
63,63,10,222902.322509765625000,632604.997680664062500,747.000000000000000
64,64,11,222914.741699218750000,632604.997680664062500,748.000000000000000
65,65,14,222927.161010742187500,632604.997680664062500,749.000000000000000
66,66,15,222939.580200195312500,632604.997680664062500,749.000000000000000
67,67,12,222951.999511718750000,632604.997680664062500,749.000000000000000
68,68,7,222964.418701171875000,632604.997680664062500,750.000000000000000
69,69,11,222976.837890625000000,632604.997680664062500,751.000000000000000
70,70,13,222989.257080078125000,632604.997680664062500,753.000000000000000
71,71,14,223001.676391601562500,632604.997680664062500,754.000000000000000
72,72,12,223014.095581054687500,632604.997680664062500,755.000000000000000
73,73,12,223026.514770507812500,632604.997680664062500,755.000000000000000
74,74,14,223038.933959960937500,632604.997680664062500,757.000000000000000
75,75,16,223051.353149414062500,632604.997680664062500,760.000000000000000
76,76,17,223063.772460937500000,632604.997680664062500,762.000000000000000
77,77,19,223076.191650390625000,632604.997680664062500,764.000000000000000
78,78,17,223088.610839843750000,632604.997680664062500,765.000000000000000
79,79,17,223101.030029296875000,632604.997680664062500,766.000000000000000
80,80,16,223113.449218750000000,632604.997680664062500,766.000000000000000
81,81,17,223125.868530273437500,632604.997680664062500,768.000000000000000
82,82,17,223138.287719726562500,632604.997680664062500,770.000000000000000
83,83,17,223150.706909179687500,632604.997680664062500,772.000000000000000
84,84,17,223163.126220703125000,632604.997680664062500,775.000000000000000
85,85,17,223175.545410156250000,632604.997680664062500,777.000000000000000
86,86,17,223187.964599609375000,632604.997680664062500,778.000000000000000
87,87,17,223200.383911132812500,632604.997680664062500,779.000000000000000
88,88,17,223212.803100585937500,632604.997680664062500,780.000000000000000
89,89,17,223225.222290039062500,632604.997680664062500,782.130399999994552
90,90,17,223237.641479492187500,632604.997680664062500,785.000000000000000
91,91,17,223250.060668945312500,632604.997680664062500,787.000000000000000
92,92,17,223262.479980468750000,632604.997680664062500,789.000000000000000
93,93,17,223274.899169921875000,632604.997680664062500,791.000000000000000
94,94,17,223287.318359375000000,632604.997680664062500,792.000000000000000
95,95,17,223299.737548828125000,632604.997680664062500,794.000000000000000
96,96,17,223312.156738281250000,632604.997680664062500,794.000000000000000
97,97,17,223324.575927734375000,632604.997680664062500,796.000000000000000
98,98,16,223336.995239257812500,632604.997680664062500,798.000000000000000
99,99,17,223349.414428710937500,632604.997680664062500,801.000000000000000
100,100,17,223361.833618164062500,632604.997680664062500,803.000000000000000
101,101,17,223374.252929687500000,632604.997680664062500,805.000000000000000
102,102,17,223386.672119140625000,632604.997680664062500,807.000000000000000
103,103,17,223399.091430664062500,632604.997680664062500,809.000000000000000
104,104,18,223411.510620117187500,632604.997680664062500,810.000000000000000
105,105,3,222778.130371093750000,632592.520507812500000,732.000000000000000
106,106,3,222790.549560546875000,632592.520507812500000,732.000000000000000
107,107,3,222802.968872070312500,632592.520507812500000,734.000000000000000
108,108,4,222815.388061523437500,632592.520507812500000,735.000000000000000
109,109,3,222827.807250976562500,632592.520507812500000,737.000000000000000
110,110,4,222840.226440429687500,632592.520507812500000,738.000000000000000
111,111,3,222852.645629882812500,632592.520507812500000,739.000000000000000
112,112,3,222865.064941406250000,632592.520507812500000,741.000000000000000
113,113,5,222877.484130859375000,632592.520507812500000,743.000000000000000
114,114,7,222889.903320312500000,632592.520507812500000,745.000000000000000
115,115,9,222902.322509765625000,632592.520507812500000,748.000000000000000
116,116,12,222914.741699218750000,632592.520507812500000,749.000000000000000
117,117,15,222927.161010742187500,632592.520507812500000,751.000000000000000
118,118,17,222939.580200195312500,632592.520507812500000,752.000000000000000
119,119,19,222951.999511718750000,632592.520507812500000,751.000000000000000
120,120,12,222964.418701171875000,632592.520507812500000,751.000000000000000
121,121,11,222976.837890625000000,632592.520507812500000,752.000000000000000
122,122,17,222989.257080078125000,632592.520507812500000,754.000000000000000
123,123,15,223001.676391601562500,632592.520507812500000,755.000000000000000
124,124,12,223014.095581054687500,632592.520507812500000,755.000000000000000
125,125,8,223026.514770507812500,632592.520507812500000,756.000000000000000
126,126,15,223038.933959960937500,632592.520507812500000,758.000000000000000
127,127,17,223051.353149414062500,632592.520507812500000,761.000000000000000
128,128,17,223063.772460937500000,632592.520507812500000,763.000000000000000
129,129,18,223076.191650390625000,632592.520507812500000,765.000000000000000
130,130,17,223088.610839843750000,632592.520507812500000,766.000000000000000
131,131,17,223101.030029296875000,632592.520507812500000,767.000000000000000
132,132,15,223113.449218750000000,632592.520507812500000,767.000000000000000
133,133,15,223125.868530273437500,632592.520507812500000,768.000000000000000
134,134,16,223138.287719726562500,632592.520507812500000,770.000000000000000
135,135,16,223150.706909179687500,632592.520507812500000,772.000000000000000
